yyyyMMdd,Net sales,Total orders,Total guests
20251014,20494.67,437,155
20251015,25648.96,488,192
20251016,20073.62,491,190
20251017,25528.94,616,225
20251018,30068.81,662,211
20251020,19135.85,439,177
20251021,22411.11,528,218
20251022,22273.11,491,185
20251023,31524.09,533,204
20251024,24168.14,645,233
20251025,34703.17,747,239
20251027,15445.19,443,184
20251028,18494.00,473,168
20251029,25001.39,463,167
20251030,27398.66,540,202
20251031,29577.16,696,241
20251101,28551.62,668,246
20251103,23216.93,470,172
20251104,18475.58,454,170
20251105,23463.59,544,213
20251106,29690.75,582,239
20251107,34345.47,600,258
20251108,37161.00,688,215
20251110,20645.76,568,222
20251111,28697.70,544,229
20251112,28321.60,521,212
20251113,25472.73,515,205
20251114,26217.53,630,233
20251115,32974.83,724,244
20251117,18905.14,453,170
20251118,23509.43,512,214
20251119,26294.00,586,218
20251120,22781.32,588,236
20251121,26899.52,668,227
20251122,31721.53,753,245
20251124,24783.39,684,255
20251125,30106.23,792,296
20251126,52365.50,1004,313
20251128,19948.87,517,186
20251129,26845.97,575,223
20251201,22618.61,497,203
20251202,18736.19,485,199
20251203,24740.89,512,215
20251204,26092.12,561,217
20251205,34191.75,697,237
20251206,32222.53,741,242
20251208,24533.49,510,201
20251209,31522.42,560,239
20251210,36039.40,565,213
20251211,32822.27,602,233
20251212,37794.83,695,245
20251213,40634.61,748,261
20251215,25529.53,548,207
20251216,34002.00,549,205
20251217,43576.90,622,215
20251218,40766.46,651,242
20251219,41494.57,751,266
20251220,41873.24,815,593
20251222,40782.17,841,298
20251223,42060.69,891,496
20251224,46927.19,882,488
20251226,21966.71,571,217
20251227,26170.77,603,220
20251229,17823.73,548,195
20251230,23344.89,623,213
20251231,31754.50,721,255
20260102,17658.34,591,211
20260103,26923.56,686,247
20260105,16492.04,502,336
20260106,18204.85,463,220
20260107,17310.79,461,206
20260108,19563.38,560,202
20260109,25389.57,624,242
20260110,33449.68,756,249
20260112,16908.15,454,196
20260113,22540.64,471,176
20260114,24804.81,525,207
20260115,20574.45,533,208
20260116,22324.87,639,245
20260117,36382.38,717,0
20260119,18451.23,570,0
20260120,18114.95,445,0
20260121,24321.46,517,0
20260122,23832.90,544,0
20260123,29891.59,635,0
20260124,32801.03,701,8
20260126,16272.24,449,0
20260127,21259.67,476,0
20260128,24087.67,507,0
20260129,24981.37,577,0
20260130,49179.99,821,8
20260131,40375.94,598,130
20260202,14601.80,483,64
20260203,20084.94,486,0
20260204,21059.64,499,0
20260205,21144.19,535,0
20260206,27183.12,651,0
20260207,37582.50,816,7
20260209,10927.01,424,0
20260210,18395.95,461,0
20260211,26973.44,531,0
20260212,26634.97,564,0
20260213,25744.57,703,0
20260214,32314.64,759,0
20260216,20518.90,508,0
20260217,17175.83,461,0
20260218,24991.65,521,0
20260219,23222.38,501,0
20260220,26362.88,644,17
20260221,34318.97,752,0
20260223,18277.41,482,0
20260224,19808.00,523,0
20260225,21748.54,495,0
20260226,23630.27,533,2
20260227,26590.29,625,0
20260228,32583.59,729,1
20260302,15147.38,447,0
20260303,18171.72,460,0
20260304,25653.78,545,7
20260305,22374.31,560,10
20260306,27013.11,639,0
20260307,35635.56,758,0
20260309,18518.09,482,0
20260310,24826.41,503,0
20260311,22380.16,503,0
20260312,19993.16,495,3
20260313,23508.25,606,3
20260314,33796.62,716,0
20260316,16178.59,476,0
20260317,23252.48,589,0
20260318,23304.79,513,181
20260319,19943.56,533,0
20260320,24966.68,628,0
20260321,31399.61,715,0
20260323,16171.00,453,7
20260324,21158.52,506,8
20260325,27244.21,570,0
20260326,21621.50,551,0
20260327,23776.76,615,0
20260328,38661.17,734,0
20260330,17570.41,512,0
20260331,19359.62,545,0
20260401,23873.44,540,0
20260402,25484.44,589,6
20260403,34144.06,744,0
20260404,60908.39,1118,0
20260406,14881.54,409,2
20260407,21162.73,437,16
