yyyyMMdd,Net sales,Total orders,Total guests
20210201,5294.17,126,215
20210202,5390.02,121,218
20210203,4701.23,101,180
20210204,6456.73,135,242
20210205,16937.24,188,414
20210206,23184.69,268,675
20210207,12298.12,175,448
20210208,5382.59,104,192
20210209,4058.47,106,170
20210210,5450.06,134,223
20210211,8099.22,160,306
20210212,18857.32,240,509
20210213,31995.68,340,830
20210214,30681.65,353,794
20210215,8462.19,151,290
20210216,5856.83,131,228
20210217,7114.61,121,236
20210218,7414.27,143,241
20210219,12472.09,187,389
20210220,28810.86,326,823
20210221,16629.40,243,610
20210222,4602.72,112,200
20210223,5080.90,144,217
20210224,5015.33,116,204
20210225,7739.23,143,285
20210226,16600.18,198,417
20210227,27454.65,275,792
20210228,13967.38,196,506
20210301,5441.51,113,195
20210302,6169.49,136,247
20210303,5034.50,119,201
20210304,7389.94,148,255
20210305,17469.66,209,460
20210306,25474.26,264,726
20210307,15883.78,220,578
20210308,5693.44,121,226
20210309,5737.67,123,229
20210310,6598.60,125,226
20210311,7478.26,135,258
20210312,16367.29,216,472
20210313,25392.11,306,775
20210314,13266.17,198,503
20210315,7640.43,122,255
20210316,7714.58,132,265
20210317,6943.52,122,247
20210318,10417.96,152,331
20210319,17582.92,221,472
20210320,28922.70,312,821
20210321,15998.35,220,583
20210322,9587.10,155,300
20210323,7109.95,121,234
20210324,9102.89,156,302
20210325,10003.41,150,321
20210326,18560.41,209,476
20210327,32114.86,306,822
20210328,16340.36,223,595
20210329,7096.51,118,243
20210330,8422.59,148,271
20210331,11315.76,177,350
20210401,12077.74,179,366
20210402,22860.79,265,646
20210403,29766.24,326,831
20210404,19292.58,251,653
20210405,11340.04,156,509
20210406,9772.34,164,312
20210407,9795.06,173,332
20210408,9712.25,149,309
20210409,21026.25,257,559
20210410,24792.13,281,711
20210411,13101.20,169,462
20210412,7504.12,136,245
20210413,9010.07,164,344
20210414,8700.37,167,327
20210415,10841.91,179,356
20210416,18518.06,233,503
20210417,30672.65,320,835
20210418,16139.84,215,563
20210419,9274.31,147,300
20210420,7545.70,158,265
20210421,11185.22,180,1275
20210422,7580.87,150,289
20210423,19857.75,221,501
20210424,32941.19,315,826
20210425,16576.56,230,602
20210426,8417.88,151,293
20210427,7820.01,162,299
20210428,10138.33,155,319
20210429,9093.25,140,282
20210430,17946.20,230,482
20210501,27858.52,330,809
20210502,15581.67,227,570
20210503,9683.99,158,313
20210504,7298.95,131,244
20210505,8343.39,159,299
20210506,8713.85,148,297
20210507,20694.68,241,601
20210508,33324.31,352,943
20210509,19920.03,231,912
20210510,8497.96,153,312
20210511,11240.21,186,369
20210512,11113.79,173,335
20210513,10279.45,181,358
20210514,19109.28,228,508
20210515,31256.84,329,881
20210516,16125.54,235,609
20210517,8294.17,178,326
20210518,9548.12,158,306
20210519,9104.49,183,357
20210520,8590.62,179,296
20210521,19367.38,221,497
20210522,30034.58,305,818
20210523,15729.81,207,580
20210524,5336.05,128,208
20210525,7159.69,149,261
20210526,9512.37,161,305
20210527,10531.46,193,364
20210528,22075.37,235,545
20210529,28599.38,304,798
20210530,15760.82,228,567
20210531,14411.70,211,481
20210601,9299.59,142,369
20210602,11336.97,174,395
20210603,13400.01,178,420
20210604,17091.71,221,490
20210605,26554.35,307,791
20210606,15074.91,222,575
20210607,7774.33,124,267
20210608,8704.80,160,301
20210609,9307.09,159,319
20210610,8998.16,171,309
20210611,19031.16,253,537
20210612,29326.22,318,823
20210613,15665.03,205,575
20210614,8891.11,155,292
20210615,8322.02,156,286
20210616,9677.22,201,373
20210617,8593.08,172,326
20210618,17885.16,222,494
20210619,24252.68,279,708
20210620,18251.15,217,640
20210621,6827.10,139,253
20210622,9833.34,173,331
20210623,10180.95,181,365
20210624,8883.87,162,318
20210625,13480.51,182,402
20210626,29014.39,322,849
20210627,15092.67,202,547
20210628,6829.95,133,240
20210629,10067.06,149,302
20210630,8457.60,160,310
20210701,8903.65,151,305
20210702,15222.68,192,436
20210703,20329.21,233,586
20210704,11581.85,168,424
20210705,13702.65,175,477
20210706,1736.55,63,98
20210707,5180.25,82,174
20210708,10115.98,169,326
20210709,15354.29,197,427
20210710,28501.86,311,815
20210711,14577.54,216,513
20210712,5852.43,114,211
20210713,7989.23,146,277
20210714,9432.13,159,313
20210715,8183.02,154,297
20210716,16765.61,220,489
20210717,26789.63,281,746
20210718,14195.52,210,509
20210719,6662.59,136,268
20210720,8828.73,151,289
20210721,7704.72,150,296
20210722,9003.85,153,316
20210723,15209.84,191,440
20210724,26333.16,306,766
20210725,14130.76,201,521
20210726,9500.19,151,299
20210727,7057.70,142,264
20210728,8848.01,138,277
20210729,8108.83,154,313
20210730,15946.31,206,458
20210731,23433.60,272,663
20210801,14833.71,201,540
20210802,5425.73,118,212
20210803,6572.63,133,229
20210804,7736.44,146,277
20210805,8302.61,157,292
20210806,13252.73,181,380
20210807,22718.91,271,662
20210808,14938.21,203,529
20210809,5358.65,130,212
20210810,6917.05,145,262
20210811,6523.75,131,242
20210812,6314.19,133,215
20210813,12222.51,201,378
20210814,22531.25,265,671
20210815,13301.90,183,466
20210816,5492.70,122,227
20210817,5839.04,138,239
20210818,7704.26,153,267
20210819,7840.46,142,262
20210820,12596.42,191,351
20210821,21003.22,239,600
20210822,14119.30,205,534
20210823,4594.62,113,186
20210824,6424.03,122,215
20210825,6490.79,133,235
20210826,6715.96,139,254
20210827,13342.81,194,372
20210828,28398.60,307,799
20210829,14041.15,192,522
20210830,6489.74,132,226
20210831,5444.59,134,219
20210901,5770.72,141,207
20210902,8547.12,156,265
20210903,15342.88,202,406
20210904,21795.64,274,655
20210905,16058.99,218,559
20210906,12218.32,170,390
20210907,5077.83,121,197
20210908,5155.96,114,192
20210909,5415.60,120,199
20210910,16779.71,211,429
20210911,21386.18,221,581
20210912,13704.45,205,499
20210913,7489.18,144,267
20210914,7787.35,159,275
20210915,8678.07,161,302
20210916,5796.30,139,221
20210917,12911.81,199,362
20210918,25129.30,276,691
20210919,16372.50,223,561
20210920,6925.61,147,259
20210921,7379.90,146,272
20210922,6484.66,133,231
20210923,5879.83,130,223
20210924,13138.51,187,373
20210925,22994.17,262,630
20210926,14372.67,186,482
20210927,6961.93,132,233
20210928,6039.92,152,253
20210929,7326.02,158,278
20210930,7003.21,159,260
20211001,10102.48,192,436
20211002,23068.59,256,644
20211003,14424.51,206,544
20211004,5456.53,117,199
20211005,5945.40,126,226
20211006,6595.45,157,269
20211007,8114.07,159,277
20211008,13233.83,206,402
20211009,26872.97,276,722
20211010,11111.94,172,424
20211011,7855.73,144,264
20211012,6002.28,121,212
20211013,8475.88,159,292
20211014,7219.16,149,266
20211015,11412.29,180,369
20211016,22259.85,252,614
20211017,13851.99,199,486
20211018,8885.62,161,311
20211019,5945.60,124,226
20211020,7523.70,159,271
20211021,7368.59,147,249
20211022,16217.97,212,471
20211023,25029.94,274,681
20211024,9221.91,128,327
20211025,8392.37,162,310
20211026,5394.43,132,220
20211027,8849.26,174,304
20211028,7622.31,138,249
20211029,13943.15,191,390
20211030,22096.31,252,628
20211031,12671.24,183,450
20211101,6079.65,123,228
20211102,5567.49,125,212
20211103,7244.78,134,253
20211104,6482.80,144,251
20211105,13792.00,211,392
20211106,24982.62,283,688
20211107,16239.03,224,559
20211108,5748.85,110,217
20211109,8416.00,165,280
20211110,7980.95,159,283
20211111,11713.88,180,352
20211112,16629.67,212,436
20211113,25947.97,274,703
20211114,13336.49,200,474
20211115,7196.44,150,261
20211116,7352.87,153,261
20211117,7250.58,127,235
20211118,6441.70,126,223
20211119,15704.57,198,414
20211120,24967.52,265,694
20211121,14377.30,200,528
20211122,6416.40,115,211
20211123,11341.87,173,374
20211124,19134.63,188,383
20211126,12784.53,153,376
20211127,21016.79,222,585
20211128,12921.57,185,449
20211129,7540.03,125,256
20211130,6585.67,138,254
20211201,7662.10,152,268
20211202,8305.19,133,275
20211203,15857.13,186,385
20211204,22604.65,254,655
20211205,12511.54,174,445
20211206,6621.63,93,184
20211207,6965.27,135,262
20211208,8897.03,147,298
20211209,10324.14,153,302
20211210,15628.59,188,404
20211211,25934.34,265,680
20211212,15184.95,196,525
20211213,9000.92,138,284
20211214,8656.82,140,336
20211215,9793.36,144,307
20211216,10866.66,155,312
20211217,16223.31,195,400
20211218,26902.78,253,651
20211219,15697.17,197,538
20211220,11370.72,158,339
20211221,12069.76,166,359
20211222,13119.90,168,385
20211223,16349.36,179,404
20211224,6447.01,77,215
20211226,12002.93,160,436
20211227,15502.35,159,412
20211228,7272.41,114,238
20211229,11963.46,146,329
20211230,16648.43,201,443
20211231,26777.32,210,533
20220101,25571.33,254,694
20220102,13495.99,189,486
20220103,9059.74,136,283
20220104,6681.97,125,229
